Biotype,Resequenced type,Original name,Paper name,Number of reads,"Apisum
Nuclear","Mito-
Chondrion","Buchnera
AphidicolaAPS","Buchnera
aphidicola_pLeu","Buchnera
Aphidicola_pTrp","Spiroplasma
Draft",Spiroplasma_pSKU,"Hamiltonella
Defensa","Hamiltonella
defensa_pHD5AT",Phage APSE,Rickettsiella viridis,"Regiella
Insecticola","Regiella
Insecticola_pRILSR1",Wolbachia,"Rickettsia
Draft","Rickettsia
Ixodes_pREIS3","Rickettsiella
Felis_pRF","Rickettsia
Africae_pRAF","Rickettsia
Helvetica_pRhe","Rickettsia
Monacensis_pRM","Serratia
Symbiotica",Fukatsuia symbiotica,unmapped,Pourcentage unmapped
Pisum sativum,Individual (whole body),ArPo28,Po_ind1,84627212,14.28,1873.98,775.49,348.10,3377.73,0.36,0.01,0.03,0.00,0.05,0.00,0.02,0.01,0.00,41.48,3.87,1.86,3.43,3.92,4.41,7.48,0.00,378150,0.45%
Pisum sativum,Individual (whole body),ArPo31,Po_ind2,70939276,12.26,400.07,130.76,60.47,637.27,0.75,0.00,0.02,0.01,0.12,0.01,0.01,0.00,0.01,178.31,13.93,8.57,12.08,15.47,16.36,0.07,0.00,870896,1.23%
Pisum sativum,Individual (whole body),Ar_Po_58,Po_ind3,67531634,11.94,491.20,277.14,195.03,905.91,0.13,0.00,0.08,0.17,0.63,0.00,0.25,0.09,0.00,0.12,0.00,0.01,0.02,0.00,0.01,0.00,0.02,176814,0.26%
Lathyrus pratensis,Individual (whole body),L10Lap02,Lp_ind1,90129018,15.70,811.77,572.15,336.95,1882.89,0.01,0.02,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.13,0.01,0.01,0.02,0.04,0.02,0.02,0.00,764398,0.85%
Meliotus officinalis,Individual (whole body),L10Mo01,Mo_ind1,80324962,13.41,1364.37,1032.10,580.68,4003.39,0.01,0.01,0.05,0.03,0.46,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235652,0.29%
Meliotus officinalis,Individual (whole body),L10Mo03,Mo_ind2,118458698,20.22,989.49,1197.91,696.04,4566.48,0.00,0.00,0.05,0.05,0.47,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,397648,0.34%
Vicia cracca,Individual (whole body),L11Vc04,Vc_ind1,100485004,14.98,857.58,739.45,469.23,1673.90,261.86,1.37,0.04,0.01,0.08,0.03,0.06,0.01,0.02,13.69,0.05,0.01,0.00,0.04,0.02,5.52,0.01,617308,0.61%
Vicia cracca,Individual (whole body),L11Vc05,Vc_ind2,70314816,11.96,749.02,665.56,497.38,2379.77,0.16,0.01,0.01,0.01,0.05,0.00,0.02,0.00,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,245236,0.35%
Lathyrus pratensis,Individual (whole body),L14Lap03,Lp_ind3,83816556,14.53,936.08,517.16,394.66,2014.27,0.01,0.01,0.01,0.01,0.05,0.00,0.03,0.00,0.00,0.06,0.01,0.00,0.00,0.01,0.00,0.00,0.00,658030,0.79%
Ononis spinosa,Individual (whole body),L14Os02,Os_ind1,89119270,7.97,559.90,408.46,261.88,1198.55,0.00,0.01,1.26,0.36,1.27,0.00,0.01,0.06,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.00,151090,0.17%
